task,category,difficulty,agent,model,effort,passed,duration_seconds,agent_termination,input_tokens,output_tokens,total_tokens,cost_usd,list_cost_usd,files_changed,insertions,deletions,face_value,efficiency,points,graders,grader_summaries,run_id
activitykit-001,frameworks,7,opencode,minimax/MiniMax-M2.7,,false,339.9,completed,31767,21454,53221,0.1224,0.0353,5,230,18,70,0.94,0.0,build=P;xcodeproj=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Activitykit001Fixture' | xcodeproj:1 project assertion(s) hold in the resolved configuration | xctest:2 executed, 1 passed, 1 failed, 0 skipped — failing: DeliveryActivityTests/testStartingWorksWhenLiveActivitiesAreEnabled()",2026-09-02T162133-activitykit-001-opencode
appintents-001,frameworks,2,opencode,minimax/MiniMax-M2.7,,true,55.5,completed,410,603,1013,0.0054,0.0008,1,1,0,20,1.00,20.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'AppIntentFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T120747-appintents-001-opencode
appintents-002,frameworks,5,opencode,minimax/MiniMax-M2.7,,true,179.5,completed,943,763,1706,0.0045,0.0012,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Appintents002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T162714-appintents-002-opencode
appintents-003,frameworks,5,opencode,minimax/MiniMax-M2.7,,true,101.1,completed,749,753,1502,0.0044,0.0011,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Appintents003Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-02T163014-appintents-003-opencode
appintents-004,frameworks,6,opencode,minimax/MiniMax-M2.7,,true,52.4,completed,453,686,1139,0.0040,0.0010,1,1,3,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Appintents004Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T163156-appintents-004-opencode
bg-001,frameworks,6,opencode,minimax/MiniMax-M2.7,,true,62.9,completed,703,976,1679,0.0059,0.0014,1,1,0,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Bg001Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-02T163249-bg-001-opencode
bg-002,frameworks,6,opencode,minimax/MiniMax-M2.7,,false,61.7,completed,560,1897,2457,0.0082,0.0024,2,44,3,60,1.00,0.0,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'Bg002Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T163352-bg-002-opencode
build-005,build,5,opencode,minimax/MiniMax-M2.7,,true,42.8,completed,8755,1108,9863,0.0131,0.0040,1,1,2,50,1.00,50.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'LinkErrorFixture' | file:1 file assertion(s) satisfied,2026-09-02T120843-build-005-opencode
concurrency-001,frameworks,5,opencode,minimax/MiniMax-M2.7,,true,34.2,completed,125,809,934,0.0049,0.0010,1,1,3,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency001Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T163454-concurrency-001-opencode
concurrency-002,frameworks,6,opencode,minimax/MiniMax-M2.7,,true,62.1,completed,690,1572,2262,0.0063,0.0021,1,2,3,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T163529-concurrency-002-opencode
concurrency-003,frameworks,7,opencode,minimax/MiniMax-M2.7,,true,69.2,completed,400,2055,2455,0.0066,0.0026,1,1,1,70,1.00,70.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency003Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T163632-concurrency-003-opencode
concurrency-004,frameworks,6,opencode,minimax/MiniMax-M2.7,,false,29.4,completed,277,1523,1800,0.0057,0.0019,1,31,13,60,1.00,0.0,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'Concurrency004Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T163742-concurrency-004-opencode
concurrency-005,frameworks,5,opencode,minimax/MiniMax-M2.7,,true,41.7,completed,350,1704,2054,0.0060,0.0021,1,5,5,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency005Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T163812-concurrency-005-opencode
concurrency-006,frameworks,4,opencode,minimax/MiniMax-M2.7,,false,59.8,completed,522,2205,2727,0.0081,0.0028,1,3,5,40,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Concurrency006Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T163855-concurrency-006-opencode
concurrency-007,frameworks,7,opencode,minimax/MiniMax-M2.7,,false,125.4,completed,596,1724,2320,0.0078,0.0022,1,6,15,70,1.00,0.0,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'Concurrency007Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T163955-concurrency-007-opencode
concurrency-008,frameworks,3,opencode,minimax/MiniMax-M2.7,,false,70.2,completed,268,1095,1363,0.0045,0.0014,1,3,2,30,1.00,0.0,build=P;xctest=F;runtime=P,"build:xcodebuild build succeeded for scheme 'ConcurrencyCancellationFixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed | runtime:Process survived 5s observation window",2026-09-02T164201-concurrency-008-opencode
coredata-001,frameworks,3,opencode,minimax/MiniMax-M2.7,,true,30.7,completed,407,476,883,0.0036,0.0007,1,1,1,30,1.00,30.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'CoreDataNotesFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T120927-coredata-001-opencode
coredata-002,frameworks,5,opencode,minimax/MiniMax-M2.7,,false,70.0,completed,1436,1129,2565,0.0068,0.0018,2,3,2,50,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'CoreDataSaveFixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T120958-coredata-002-opencode
coredata-003,frameworks,8,opencode,minimax/MiniMax-M2.7,,false,115.0,completed,3746,5848,9594,0.0243,0.0081,1,18,5,80,1.00,0.0,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'Coredata003Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T164316-coredata-003-opencode
coredata-004,frameworks,7,opencode,minimax/MiniMax-M2.7,,false,66.5,completed,1549,2217,3766,0.0078,0.0031,2,8,1,70,1.00,0.0,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'Coredata004Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T164511-coredata-004-opencode
coredata-005,frameworks,6,opencode,minimax/MiniMax-M2.7,,false,211.9,completed,16519,6941,23460,0.0553,0.0133,5,104,4,60,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Coredata005Fixture' | xctest:2 executed, 1 passed, 1 failed, 0 skipped — failing: NotesStackTests/testTheScreenSeesABackgroundEdit()",2026-09-02T164618-coredata-005-opencode
coredata-006,frameworks,7,opencode,minimax/MiniMax-M2.7,,false,88.2,completed,8486,2483,10969,0.0153,0.0055,2,11,4,70,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Coredata006Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T164951-coredata-006-opencode
coredata-007,frameworks,3,opencode,minimax/MiniMax-M2.7,,true,29.4,completed,103,580,683,0.0035,0.0007,1,3,1,30,1.00,30.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata007Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T165120-coredata-007-opencode
coredata-008,frameworks,5,opencode,minimax/MiniMax-M2.7,,true,111.2,completed,539,745,1284,0.0043,0.0011,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata008Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T165150-coredata-008-opencode
